snr_db,mc_idx,mc_seed,gamma_eff,chi,BER_Net,NMSE_Net,BER_LMMSE,BER_GAMP
7,9,1008363426,1000000000.0,0.22565444476219254,,,0.012298583984375,0.012298583984375
9,0,1708709736,1000000000.0,0.1638057265599695,,,0.00225830078125,0.00225067138671875
9,1,406886645,1000000000.0,0.1638057265599695,,,0.00249481201171875,0.00249481201171875
9,2,994157307,1000000000.0,0.1638057265599695,,,0.00235748291015625,0.00235748291015625
9,3,279004308,1000000000.0,0.1638057265599695,,,0.00244903564453125,0.00243377685546875
9,4,1474200732,1000000000.0,0.1638057265599695,,,0.00225067138671875,0.00223541259765625
9,5,1021568550,1000000000.0,0.1638057265599695,,,0.002471923828125,0.002471923828125
9,6,709091226,1000000000.0,0.1638057265599695,,,0.0024871826171875,0.00249481201171875
9,7,487284116,1000000000.0,0.1638057265599695,,,0.00226593017578125,0.00226593017578125
9,8,1212254291,1000000000.0,0.1638057265599695,,,0.002410888671875,0.002410888671875
9,9,1438414600,1000000000.0,0.1638057265599695,,,0.0023956298828125,0.0023956298828125
11,0,2019291965,1000000000.0,0.11419832002191733,,,0.0002593994140625,0.0002593994140625
11,1,938776597,1000000000.0,0.11419832002191733,,,0.00016021728515625,0.00016021728515625
11,2,345075200,1000000000.0,0.11419832002191733,,,9.918212890625e-05,9.918212890625e-05
11,3,1788162810,1000000000.0,0.11419832002191733,,,0.0001678466796875,0.0001678466796875
11,4,1352408539,1000000000.0,0.11419832002191733,,,0.00017547607421875,0.00018310546875
11,5,1503807855,1000000000.0,0.11419832002191733,,,0.0002288818359375,0.00023651123046875
11,6,208792607,1000000000.0,0.11419832002191733,,,0.00025177001953125,0.00025177001953125
11,7,670802254,1000000000.0,0.11419832002191733,,,0.00019073486328125,0.00019073486328125
11,8,1648932250,1000000000.0,0.11419832002191733,,,0.00022125244140625,0.00022125244140625
11,9,1787264314,1000000000.0,0.11419832002191733,,,0.00020599365234375,0.00020599365234375
13,0,934620677,1000000000.0,0.07716239845639927,,,0.0,0.0
13,1,1728218298,1000000000.0,0.07716239845639927,,,0.0,0.0
13,2,1807519525,1000000000.0,0.07716239845639927,,,0.0,0.0
13,3,832103482,1000000000.0,0.07716239845639927,,,0.0,0.0
13,4,1928628491,1000000000.0,0.07716239845639927,,,0.0,0.0
13,5,619179888,1000000000.0,0.07716239845639927,,,0.0,0.0
13,6,514446424,1000000000.0,0.07716239845639927,,,0.0,0.0
13,7,1465647934,1000000000.0,0.07716239845639927,,,0.0,0.0
13,8,1367435608,1000000000.0,0.07716239845639927,,,7.62939453125e-06,7.62939453125e-06
13,9,300116173,1000000000.0,0.07716239845639927,,,0.0,0.0
15,0,1788288546,1000000000.0,0.05096590459225328,,,0.0,0.0
15,1,429299595,1000000000.0,0.05096590459225328,,,0.0,0.0
15,2,1728507683,1000000000.0,0.05096590459225328,,,0.0,0.0
15,3,15810353,1000000000.0,0.05096590459225328,,,0.0,0.0
15,4,1711206424,1000000000.0,0.05096590459225328,,,0.0,0.0
15,5,1689907232,1000000000.0,0.05096590459225328,,,0.0,0.0
15,6,1675819613,1000000000.0,0.05096590459225328,,,0.0,0.0
15,7,1427756342,1000000000.0,0.05096590459225328,,,0.0,0.0
15,8,1012682731,1000000000.0,0.05096590459225328,,,0.0,0.0
15,9,1514331119,1000000000.0,0.05096590459225328,,,0.0,0.0
17,0,595114158,1000000000.0,0.03313630695949573,,,0.0,0.0
17,1,1676602827,1000000000.0,0.03313630695949573,,,0.0,0.0
17,2,1193242762,1000000000.0,0.03313630695949573,,,0.0,0.0
17,3,985514123,1000000000.0,0.03313630695949573,,,0.0,0.0
17,4,1085781156,1000000000.0,0.03313630695949573,,,0.0,0.0
17,5,1221362418,1000000000.0,0.03313630695949573,,,0.0,0.0
17,6,80020205,1000000000.0,0.03313630695949573,,,0.0,0.0
17,7,300211767,1000000000.0,0.03313630695949573,,,0.0,0.0
