snr_db,init_error,method,mc_idx,seed,ber,rmse_tau_init,rmse_tau_final,improvement,success_rate
-5,0.5,adjoint_slice,5,6000,0.37307944893836975,0.488748165478938,0.488748165478938,0.9999999997953957,0.203125
-5,0.5,proposed,6,7000,0.33956706523895264,0.5073591824621381,0.3726683888349969,1.3614226414857922,0.3828125
-5,0.5,adjoint_slice,6,7000,0.3773539364337921,0.5073591824621381,0.5073591824621381,0.999999999802901,0.125
-5,0.5,proposed,7,8000,0.34246623516082764,0.5094330266680691,0.39518169825040217,1.2891108793615282,0.328125
-5,0.5,adjoint_slice,7,8000,0.3772827386856079,0.5094330266680691,0.5094330266680691,0.9999999998037034,0.16015625
-5,0.5,proposed,8,9000,0.34528809785842896,0.5151835859694267,0.41348720490766194,1.2459480722260325,0.39453125
-5,0.5,adjoint_slice,8,9000,0.38170167803764343,0.5151835859694267,0.5151835859694267,0.9999999998058944,0.171875
-5,0.5,proposed,9,10000,0.34380292892456055,0.4856454462153228,0.34283978960956085,1.4165375805029536,0.42578125
-5,0.5,adjoint_slice,9,10000,0.3795430660247803,0.4856454462153228,0.4856454462153228,0.9999999997940885,0.125
-5,0.7,proposed,0,1020,0.3672851622104645,0.7221857454113065,0.6631546667649525,1.0890155517195137,0.30078125
-5,0.7,adjoint_slice,0,1020,0.3984985649585724,0.7221857454113065,0.7221857454113065,0.9999999998615314,0.10546875
-5,0.7,proposed,1,2020,0.3667338192462921,0.7147444196526556,0.6383318121287859,1.1197067198594866,0.265625
-5,0.7,adjoint_slice,1,2020,0.4012593924999237,0.7147444196526556,0.7147444196526556,0.9999999998600898,0.1171875
-5,0.7,proposed,2,3020,0.3736938536167145,0.7147138581024899,0.6428700557304589,1.1117547809552637,0.24609375
-5,0.7,adjoint_slice,2,3020,0.41086632013320923,0.7147138581024899,0.7147138581024899,0.9999999998600838,0.078125
-5,0.7,proposed,3,4020,0.3619140684604645,0.6451429598460173,0.5475558226478896,1.1782231747776695,0.296875
-5,0.7,adjoint_slice,3,4020,0.39923301339149475,0.6451429598460173,0.6451429598460173,0.9999999998449955,0.09765625
-5,0.7,proposed,4,5020,0.37284955382347107,0.7248310930795518,0.6471625314533449,1.1200139960819175,0.31640625
-5,0.7,adjoint_slice,4,5020,0.40812787413597107,0.7248310930795518,0.7248310930795518,0.9999999998620368,0.1015625
-5,0.7,proposed,5,6020,0.3587687313556671,0.6528983539581724,0.5742216405145171,1.1370145389495554,0.3203125
-5,0.7,adjoint_slice,5,6020,0.3952270746231079,0.6528983539581724,0.6528983539581724,0.9999999998468367,0.1015625
-5,0.7,proposed,6,7020,0.3615824580192566,0.6903508359008331,0.5977523324181443,1.1549111535752612,0.30859375
-5,0.7,adjoint_slice,6,7020,0.4004923701286316,0.6903508359008331,0.6903508359008331,0.9999999998551461,0.09765625
-5,0.7,proposed,7,8020,0.35524702072143555,0.6574108551201315,0.5491771850975565,1.1970833327383035,0.30859375
-5,0.7,adjoint_slice,7,8020,0.39567670226097107,0.6574108551201315,0.6574108551201315,0.9999999998478881,0.11328125
-5,0.7,proposed,8,9020,0.37017011642456055,0.712512801259792,0.6423171118872897,1.1092850991550283,0.30078125
-5,0.7,adjoint_slice,8,9020,0.4083496332168579,0.712512801259792,0.712512801259792,0.9999999998596516,0.11328125
-5,0.7,proposed,9,10020,0.3760721981525421,0.7217501045584874,0.6448470058637573,1.119257898204543,0.25390625
-5,0.7,adjoint_slice,9,10020,0.40959474444389343,0.7217501045584874,0.7217501045584874,0.9999999998614478,0.1171875
-5,1.0,proposed,0,1050,0.39891767501831055,0.9571814012010723,0.9014467836111565,1.0618279620017752,0.22265625
-5,1.0,adjoint_slice,0,1050,0.4316040277481079,0.9571814012010723,0.9571814012010723,0.9999999998955266,0.10546875
-5,1.0,proposed,1,2050,0.39621177315711975,1.0121446399761642,0.9651989823649136,1.0486383205578618,0.20703125
-5,1.0,adjoint_slice,1,2050,0.42713624238967896,1.0121446399761642,1.0121446399761642,0.9999999999011999,0.04296875
-5,1.0,proposed,2,3050,0.39231976866722107,1.050551351225249,1.006570529307342,1.043693730874281,0.234375
-5,1.0,adjoint_slice,2,3050,0.4272766411304474,1.050551351225249,1.050551351225249,0.9999999999048119,0.08984375
-5,1.0,proposed,3,4050,0.39592286944389343,0.9928904657969263,0.9437724548633699,1.052044336084658,0.23046875
-5,1.0,adjoint_slice,3,4050,0.4267985224723816,0.9928904657969263,0.9928904657969263,0.9999999998992839,0.0703125
-5,1.0,proposed,4,5050,0.3942525386810303,1.0160536492867205,0.9622427576379815,1.055922365864552,0.1953125
-5,1.0,adjoint_slice,4,5050,0.42847293615341187,1.0160536492867205,1.0160536492867205,0.99999999990158,0.07421875
-5,1.0,proposed,5,6050,0.3938639461994171,0.9969476540891475,0.956906113118016,1.0418447957621195,0.24609375
-5,1.0,adjoint_slice,5,6050,0.42515259981155396,0.9969476540891475,0.9969476540891475,0.9999999998996938,0.078125
-5,1.0,proposed,6,7050,0.3875691890716553,0.9617987811130865,0.9150455184556908,1.0510939200392906,0.20703125
-5,1.0,adjoint_slice,6,7050,0.4249918758869171,0.9617987811130865,0.9617987811130865,0.9999999998960282,0.0625
-5,1.0,proposed,7,8050,0.39050090312957764,0.9877971763558112,0.9319122054944399,1.0599680639719962,0.2265625
-5,1.0,adjoint_slice,7,8050,0.4203389585018158,0.9877971763558112,0.9877971763558112,0.9999999998987646,0.08984375
-5,1.0,proposed,8,9050,0.40519410371780396,1.0303117833167192,0.9803461546555721,1.050967332629162,0.19140625
-5,1.0,adjoint_slice,8,9050,0.43488770723342896,1.0303117833167192,1.0303117833167192,0.999999999902942,0.09765625
-5,1.0,proposed,9,10050,0.3981730341911316,0.984915399900919,0.9404881614790837,1.0472384875608023,0.22265625
-5,1.0,adjoint_slice,9,10050,0.4289693534374237,0.984915399900919,0.984915399900919,0.9999999998984684,0.05859375
-5,1.5,proposed,0,1100,0.41602379083633423,1.5149690868780357,1.4845810445802388,1.0204691029207786,0.15234375
-5,1.5,adjoint_slice,0,1100,0.4426717460155487,1.5149690868780357,1.5149690868780357,0.999999999933992,0.05078125
-5,1.5,proposed,1,2100,0.43170779943466187,1.6273594868831125,1.6138859850821665,1.0083484842328718,0.125
-5,1.5,adjoint_slice,1,2100,0.4534098505973816,1.6273594868831125,1.6273594868831125,0.9999999999385507,0.0546875
-5,1.5,proposed,2,3100,0.4191426932811737,1.3840166385478232,1.363393885790175,1.015126041616494,0.1640625
-5,1.5,adjoint_slice,2,3100,0.44459229707717896,1.3840166385478232,1.3840166385478232,0.9999999999277466,0.07421875
-5,1.5,proposed,3,4100,0.4255330562591553,1.5710697478719537,1.562097641764039,1.0057436268818691,0.12890625
-5,1.5,adjoint_slice,3,4100,0.4490051567554474,1.5710697478719537,1.5710697478719537,0.9999999999363491,0.06640625
-5,1.5,proposed,4,5100,0.4113973081111908,1.5602804262187047,1.5297657250978292,1.0199473033800188,0.16015625
-5,1.5,adjoint_slice,4,5100,0.43992719054222107,1.5602804262187047,1.5602804262187047,0.9999999999359089,0.05859375
-5,1.5,proposed,5,6100,0.41119182109832764,1.415678195168461,1.3715947133787176,1.0321403117528327,0.16796875
-5,1.5,adjoint_slice,5,6100,0.44083255529403687,1.415678195168461,1.415678195168461,0.9999999999293625,0.04296875
-5,1.5,proposed,6,7100,0.4224141538143158,1.433309922221091,1.4200604188856103,1.0093302390928867,0.12109375
-5,1.5,adjoint_slice,6,7100,0.44945070147514343,1.433309922221091,1.433309922221091,0.9999999999302314,0.046875
-5,1.5,proposed,7,8100,0.42456668615341187,1.55345371018312,1.543206680277384,1.006640089066508,0.13671875
-5,1.5,adjoint_slice,7,8100,0.45222780108451843,1.55345371018312,1.55345371018312,0.9999999999356273,0.0625
