init_error,snr_db,method,mc_idx,seed,ber,rmse_tau_init,rmse_tau_final,improvement,success_rate
0.0,10,adjoint_slice,5,6100,0.09569498896598816,0.0,0.0,0.0,1.0
0.0,10,proposed_no_update,5,6100,0.09529012441635132,0.0,0.0,0.0,1.0
0.0,10,proposed,5,6100,0.0957234725356102,0.0,0.024111033466224074,0.0,0.99609375
0.0,10,oracle_sync,5,6100,0.09529012441635132,0.0,0.0,0.0,1.0
0.0,10,adjoint_slice,6,7100,0.10258585959672928,0.0,0.0,0.0,1.0
0.0,10,proposed_no_update,6,7100,0.10167236626148224,0.0,0.0,0.0,1.0
0.0,10,proposed,6,7100,0.1018676832318306,0.0,0.02125999135801583,0.0,1.0
0.0,10,oracle_sync,6,7100,0.10167236626148224,0.0,0.0,0.0,1.0
0.0,10,adjoint_slice,7,8100,0.0903828963637352,0.0,0.0,0.0,1.0
0.0,10,proposed_no_update,7,8100,0.08977864682674408,0.0,0.0,0.0,1.0
0.0,10,proposed,7,8100,0.0902404859662056,0.0,0.022558883699752702,0.0,0.99609375
0.0,10,oracle_sync,7,8100,0.08977864682674408,0.0,0.0,0.0,1.0
0.0,10,adjoint_slice,8,9100,0.09506429731845856,0.0,0.0,0.0,1.0
0.0,10,proposed_no_update,8,9100,0.09596354514360428,0.0,0.0,0.0,1.0
0.0,10,proposed,8,9100,0.09601034224033356,0.0,0.022637243780643152,0.0,0.99609375
0.0,10,oracle_sync,8,9100,0.09596354514360428,0.0,0.0,0.0,1.0
0.0,10,adjoint_slice,9,10100,0.10162150859832764,0.0,0.0,0.0,1.0
0.0,10,proposed_no_update,9,10100,0.10357056558132172,0.0,0.0,0.0,1.0
0.0,10,proposed,9,10100,0.10388997942209244,0.0,0.024292926299353264,0.0,1.0
0.0,10,oracle_sync,9,10100,0.10357056558132172,0.0,0.0,0.0,1.0
0.0,15,adjoint_slice,0,1150,0.0913289412856102,0.0,0.0,0.0,1.0
0.0,15,proposed_no_update,0,1150,0.09304606914520264,0.0,0.0,0.0,1.0
0.0,15,proposed,0,1150,0.09352417290210724,0.0,0.024550887751240497,0.0,0.99609375
0.0,15,oracle_sync,0,1150,0.09304606914520264,0.0,0.0,0.0,1.0
0.0,15,adjoint_slice,1,2150,0.12751059234142303,0.0,0.0,0.0,1.0
0.0,15,proposed_no_update,1,2150,0.12988892197608948,0.0,0.0,0.0,1.0
0.0,15,proposed,1,2150,0.12995809316635132,0.0,0.020479350449268994,0.0,1.0
0.0,15,oracle_sync,1,2150,0.12988892197608948,0.0,0.0,0.0,1.0
0.0,15,adjoint_slice,2,3150,0.11978353559970856,0.0,0.0,0.0,1.0
