snr_db,method,mc_idx,seed,ber,rmse_tau_init,rmse_tau_final,improvement,success_rate
0,proposed_tau_slice,6,7000,0.21716716885566711,0.3044155223475018,0.13893520859167652,2.191061036393283,0.81640625
0,proposed,6,7000,0.2164205014705658,0.3044155223475018,0.13893520859167652,2.191061036393283,0.81640625
0,oracle_sync,6,7000,0.21116945147514343,0.3044155223475018,0.0,3044155223.475018,1.0
0,random_init,7,8000,0.43399864435195923,0.305659828099226,2.008484535232525,0.1521843074826667,0.0234375
0,proposed_no_update,7,8000,0.2501363158226013,0.305659828099226,0.305659828099226,0.9999999996728389,0.265625
0,proposed_tau_slice,7,8000,0.20957031846046448,0.305659828099226,0.08162381885538976,3.744738141525572,0.82421875
0,proposed,7,8000,0.20953573286533356,0.305659828099226,0.08162381885538976,3.744738141525572,0.82421875
0,oracle_sync,7,8000,0.20709839463233948,0.305659828099226,0.0,3056598280.9922595,1.0
0,random_init,8,9000,0.43499961495399475,0.3091101624682385,2.0999475316257588,0.14719899321208688,0.05078125
0,proposed_no_update,8,9000,0.2560628354549408,0.3091101624682385,0.3091101624682385,0.9999999996764907,0.25390625
0,proposed_tau_slice,8,9000,0.21727906167507172,0.3091101624682385,0.1111310591710121,2.7814920913731287,0.84375
0,proposed,8,9000,0.21791179478168488,0.3091101624682385,0.1111310591710121,2.7814920913731287,0.84375
0,oracle_sync,8,9000,0.21523235738277435,0.3091101624682385,0.0,3091101624.682385,1.0
0,random_init,9,10000,0.42991334199905396,0.29138727840838224,1.8719055883620521,0.1556634480950423,0.046875
0,proposed_no_update,9,10000,0.25605878233909607,0.29138727840838224,0.29138727840838224,0.9999999996568141,0.26171875
0,proposed_tau_slice,9,10000,0.22128704190254211,0.29138727840838224,0.09037677431061893,3.2241389484038208,0.828125
0,proposed,9,10000,0.22207438945770264,0.29138727840838224,0.09037677431061893,3.2241389484038208,0.828125
0,oracle_sync,9,10000,0.21891683340072632,0.29138727840838224,0.0,2913872784.0838223,1.0
5,random_init,0,1050,0.4127645194530487,0.28715443559830306,1.9715797439139482,0.14564687858563816,0.03515625
5,proposed_no_update,0,1050,0.19929403066635132,0.28715443559830306,0.28715443559830306,0.9999999996517553,0.2578125
5,proposed_tau_slice,0,1050,0.15797729790210724,0.28715443559830306,0.03590030467772929,7.9986628909189355,0.984375
5,proposed,0,1050,0.15603435039520264,0.28715443559830306,0.03590030467772929,7.9986628909189355,0.984375
5,oracle_sync,0,1050,0.15552368760108948,0.28715443559830306,0.0,2871544355.9830303,1.0
5,random_init,1,2050,0.4083557426929474,0.303643402680808,1.8346059810186979,0.16550878270638453,0.03515625
5,proposed_no_update,1,2050,0.17626139521598816,0.303643402680808,0.303643402680808,0.9999999996706663,0.2734375
5,proposed_tau_slice,1,2050,0.12069906294345856,0.303643402680808,0.09749062865011611,3.11459066962317,0.9453125
5,proposed,1,2050,0.12140706926584244,0.303643402680808,0.09749062865011611,3.11459066962317,0.9453125
5,oracle_sync,1,2050,0.11894531548023224,0.303643402680808,0.0,3036434026.8080797,1.0
5,random_init,2,3050,0.4193461239337921,0.31516541658300745,2.017996489422954,0.15617738594654904,0.0390625
5,proposed_no_update,2,3050,0.18061524629592896,0.31516541658300745,0.31516541658300745,0.9999999996827063,0.25
5,proposed_tau_slice,2,3050,0.12100627273321152,0.31516541658300745,0.05588900012224771,5.639131409216901,0.94921875
5,proposed,2,3050,0.12090658396482468,0.31516541658300745,0.05588900012224771,5.639131409216901,0.94921875
5,oracle_sync,2,3050,0.11920980364084244,0.31516541658300745,0.0,3151654165.8300743,1.0
5,random_init,3,4050,0.4146932065486908,0.29786715013557147,1.9044387504201872,0.15640678916778533,0.05859375
5,proposed_no_update,3,4050,0.20075073838233948,0.29786715013557147,0.29786715013557147,0.9999999996642799,0.2890625
5,proposed_tau_slice,3,4050,0.14986573159694672,0.29786715013557147,0.056503419084335316,5.271665935185573,0.97265625
5,proposed,3,4050,0.1517130583524704,0.29786715013557147,0.056503419084335316,5.271665935185573,0.97265625
5,oracle_sync,3,4050,0.1496277004480362,0.29786715013557147,0.0,2978671501.355715,1.0
5,random_init,4,5050,0.3995320796966553,0.30481610939315273,1.9584988007950281,0.15563762880725415,0.0390625
5,proposed_no_update,4,5050,0.17499594390392303,0.30481610939315273,0.30481610939315273,0.9999999996719333,0.2421875
5,proposed_tau_slice,4,5050,0.1197916716337204,0.30481610939315273,0.04627965035799148,6.586396102317961,0.95703125
5,proposed,4,5050,0.11944987624883652,0.30481610939315273,0.04627965035799148,6.586396102317961,0.95703125
5,oracle_sync,4,5050,0.11846517771482468,0.30481610939315273,0.0,3048161093.931527,1.0
5,random_init,5,6050,0.4058166742324829,0.2990843069238652,2.033371072572009,0.14708791274916924,0.0546875
5,proposed_no_update,5,6050,0.18252971768379211,0.2990843069238652,0.2990843069238652,0.9999999996656461,0.2890625
5,proposed_tau_slice,5,6050,0.13125203549861908,0.2990843069238652,0.045960190660999614,6.507464437629332,0.95703125
5,proposed,5,6050,0.13031210005283356,0.2990843069238652,0.045960190660999614,6.507464437629332,0.95703125
5,oracle_sync,5,6050,0.12961630523204803,0.2990843069238652,0.0,2990843069.2386518,1.0
5,random_init,6,7050,0.40830284357070923,0.2885396436330411,1.9411040625693683,0.14864717929457477,0.02734375
5,proposed_no_update,6,7050,0.1705118864774704,0.2885396436330411,0.2885396436330411,0.9999999996534271,0.2734375
5,proposed_tau_slice,6,7050,0.11976929008960724,0.2885396436330411,0.04628765955790819,6.233619192793742,0.9609375
5,proposed,6,7050,0.11972453445196152,0.2885396436330411,0.04628765955790819,6.233619192793742,0.9609375
5,oracle_sync,6,7050,0.1184488981962204,0.2885396436330411,0.0,2885396436.3304105,1.0
5,random_init,7,8050,0.4073140621185303,0.296339164019762,1.896215291619838,0.1562792818483111,0.046875
5,proposed_no_update,7,8050,0.18624065816402435,0.296339164019762,0.296339164019762,0.9999999996625488,0.3203125
5,proposed_tau_slice,7,8050,0.13777466118335724,0.296339164019762,0.04593606492868967,6.451122094038343,0.96484375
5,proposed,7,8050,0.1362203061580658,0.296339164019762,0.04593606492868967,6.451122094038343,0.96484375
5,oracle_sync,7,8050,0.13502605259418488,0.296339164019762,0.0,2963391640.19762,1.0
5,random_init,8,9050,0.4206583797931671,0.30909354876878914,1.912582308527502,0.16161058657423186,0.03515625
5,proposed_no_update,8,9050,0.21621094644069672,0.30909354876878914,0.30909354876878914,0.9999999996764734,0.2578125
5,proposed_tau_slice,8,9050,0.16898804903030396,0.30909354876878914,0.07679658326815357,4.024834637330569,0.953125
5,proposed,8,9050,0.17114868760108948,0.30909354876878914,0.07679658326815357,4.024834637330569,0.953125
5,oracle_sync,8,9050,0.1684061735868454,0.30909354876878914,0.0,3090935487.6878915,1.0
5,random_init,9,10050,0.4211324155330658,0.29547463040933547,2.1511721372178387,0.13735517733961736,0.046875
5,proposed_no_update,9,10050,0.20217286050319672,0.29547463040933547,0.29547463040933547,0.9999999996615614,0.26171875
5,proposed_tau_slice,9,10050,0.15827231109142303,0.29547463040933547,0.05968554784333052,4.950522204971277,0.95703125
5,proposed,9,10050,0.15645548701286316,0.29547463040933547,0.05968554784333052,4.950522204971277,0.95703125
5,oracle_sync,9,10050,0.15436401963233948,0.29547463040933547,0.0,2954746304.0933547,1.0
10,random_init,0,1100,0.4001119136810303,0.30299382558865473,1.9681684174858793,0.1539471027384443,0.05078125
10,proposed_no_update,0,1100,0.15952353179454803,0.30299382558865473,0.30299382558865473,0.9999999996699602,0.2734375
