init_error,snr_db,method,mc_idx,seed,mf_grid_points,mf_search_half_range,ber,rmse_tau_init,rmse_tau_final,improvement,success_rate
0.1,15.0,matched_filter,0,10,41,1.7,0.0958252027630806,0.096518330952865,0.032805826851225364,2.942109372714954,0.99609375
0.1,15.0,proposed_no_update,0,10,41,1.7,0.09969686716794968,0.096518330952865,0.096518330952865,0.9999999989639274,0.671875
0.1,15.0,proposed,0,10,41,1.7,0.0950927808880806,0.096518330952865,0.020656913481265547,4.672446857714539,0.9921875
0.1,15.0,oracle_sync,0,10,41,1.7,0.0946350172162056,0.096518330952865,0.0,965183309.5286499,1.0
0.1,15.0,naive_slice,1,1010,41,1.7,0.49548953771591187,0.0975290084705606,0.0975290084705606,0.9999999989746641,0.71875
0.1,15.0,adjoint_lmmse,1,1010,41,1.7,0.12611491978168488,0.0975290084705606,0.0975290084705606,0.9999999989746641,0.71875
0.1,15.0,adjoint_slice,1,1010,41,1.7,0.12611491978168488,0.0975290084705606,0.0975290084705606,0.9999999989746641,0.71875
0.1,15.0,matched_filter,1,1010,41,1.7,0.12244263291358948,0.0975290084705606,0.0368274868883684,2.6482667280926386,0.9765625
0.1,15.0,proposed_no_update,1,1010,41,1.7,0.12459717690944672,0.0975290084705606,0.0975290084705606,0.9999999989746641,0.71875
0.1,15.0,proposed,1,1010,41,1.7,0.12081299722194672,0.0975290084705606,0.02432512620248079,4.00939371322459,0.98828125
0.1,15.0,oracle_sync,1,1010,41,1.7,0.1205037534236908,0.0975290084705606,0.0,975290084.705606,1.0
0.1,15.0,naive_slice,2,2010,41,1.7,0.49906617403030396,0.10080791610504518,0.10080791610504518,0.9999999990080145,0.66015625
0.1,15.0,adjoint_lmmse,2,2010,41,1.7,0.1034749373793602,0.10080791610504518,0.10080791610504518,0.9999999990080145,0.66015625
0.1,15.0,adjoint_slice,2,2010,41,1.7,0.1034749373793602,0.10080791610504518,0.10080791610504518,0.9999999990080145,0.66015625
0.1,15.0,matched_filter,2,2010,41,1.7,0.0988566130399704,0.10080791610504518,0.036014546278824736,2.799088874941838,0.98828125
0.1,15.0,proposed_no_update,2,2010,41,1.7,0.10375162959098816,0.10080791610504518,0.10080791610504518,0.9999999990080145,0.66015625
0.1,15.0,proposed,2,2010,41,1.7,0.09854736924171448,0.10080791610504518,0.020419529899868484,4.936838218396527,0.99609375
0.1,15.0,oracle_sync,2,2010,41,1.7,0.09848633408546448,0.10080791610504518,0.0,1008079161.0504518,1.0
0.1,15.0,naive_slice,3,3010,41,1.7,0.49808353185653687,0.10135883754152922,0.10135883754152922,0.9999999990134063,0.7421875
0.1,15.0,adjoint_lmmse,3,3010,41,1.7,0.10596314072608948,0.10135883754152922,0.10135883754152922,0.9999999990134063,0.7421875
0.1,15.0,adjoint_slice,3,3010,41,1.7,0.10596314072608948,0.10135883754152922,0.10135883754152922,0.9999999990134063,0.7421875
0.1,15.0,matched_filter,3,3010,41,1.7,0.10044759511947632,0.10135883754152922,0.034067400596426316,2.975244235529886,0.9921875
0.1,15.0,proposed_no_update,3,3010,41,1.7,0.1070454940199852,0.10135883754152922,0.10135883754152922,0.9999999990134063,0.7421875
0.1,15.0,proposed,3,3010,41,1.7,0.1012369841337204,0.10135883754152922,0.02168933965859123,4.673209911859147,0.99609375
0.1,15.0,oracle_sync,3,3010,41,1.7,0.1009623259305954,0.10135883754152922,0.0,1013588375.4152921,1.0
0.1,15.0,naive_slice,4,4010,41,1.7,0.4936259090900421,0.09779290995602843,0.09779290995602843,0.9999999989774311,0.67578125
0.1,15.0,adjoint_lmmse,4,4010,41,1.7,0.10093587636947632,0.09779290995602843,0.09779290995602843,0.9999999989774311,0.67578125
0.1,15.0,adjoint_slice,4,4010,41,1.7,0.10093587636947632,0.09779290995602843,0.09779290995602843,0.9999999989774311,0.67578125
0.1,15.0,matched_filter,4,4010,41,1.7,0.09700927883386612,0.09779290995602843,0.030818459272661337,3.173192688625418,1.0
0.1,15.0,proposed_no_update,4,4010,41,1.7,0.10069376975297928,0.09779290995602843,0.09779290995602843,0.9999999989774311,0.67578125
0.1,15.0,proposed,4,4010,41,1.7,0.09651082754135132,0.09779290995602843,0.020665069129249227,4.732280781213783,0.99609375
