adc_bits,snr_db,method,mc_idx,seed,ber,rmse_tau_init,rmse_tau_final,improvement,success_rate
2,15.0,naive_slice,2,2020,0.5012533068656921,0.3063190551605086,0.3063190551605086,0.999999999673543,0.2421875
2,15.0,adjoint_slice,2,2020,0.1666158139705658,0.3063190551605086,0.3063190551605086,0.999999999673543,0.2421875
2,15.0,proposed,2,2020,0.1651611477136612,0.3063190551605086,0.3035868324785966,1.008999805949109,0.23046875
2,15.0,oracle_sync,2,2020,0.10357870161533356,0.3063190551605086,0.0,3063190551.605086,1.0
2,15.0,naive_slice,3,3020,0.5002848505973816,0.3063059530703073,0.3063059530703073,0.999999999673529,0.2265625
2,15.0,adjoint_slice,3,3020,0.16386109590530396,0.3063059530703073,0.3063059530703073,0.999999999673529,0.2265625
2,15.0,proposed,3,3020,0.16381633281707764,0.3063059530703073,0.30498372488273967,1.004335405397919,0.2109375
2,15.0,oracle_sync,3,3020,0.1000773161649704,0.3063059530703073,0.0,3063059530.7030725,1.0
2,15.0,naive_slice,4,4020,0.5100057125091553,0.2764898564187845,0.2764898564187845,0.9999999996383231,0.30078125
2,15.0,adjoint_slice,4,4020,0.16750693321228027,0.2764898564187845,0.2764898564187845,0.9999999996383231,0.30078125
2,15.0,proposed,4,4020,0.16592204570770264,0.2764898564187845,0.27573410040399293,1.0027408866491674,0.2734375
2,15.0,oracle_sync,4,4020,0.1175944060087204,0.2764898564187845,0.0,2764898564.1878448,1.0
2,15.0,naive_slice,5,5020,0.4960978329181671,0.3106419119488346,0.3106419119488346,0.999999999678086,0.25390625
2,15.0,adjoint_slice,5,5020,0.16376547515392303,0.3106419119488346,0.3106419119488346,0.999999999678086,0.25390625
2,15.0,proposed,5,5020,0.16332194209098816,0.3106419119488346,0.3077633269502164,1.0093532420714588,0.24609375
2,15.0,oracle_sync,5,5020,0.09924723953008652,0.3106419119488346,0.0,3106419119.488346,1.0
2,15.0,naive_slice,6,6020,0.5057617425918579,0.27981359420296337,0.27981359420296337,0.9999999996426192,0.29296875
2,15.0,adjoint_slice,6,6020,0.1478576809167862,0.27981359420296337,0.27981359420296337,0.9999999996426192,0.29296875
2,15.0,proposed,6,6020,0.14853109419345856,0.27981359420296337,0.27887519965957225,1.0033649261182067,0.28125
2,15.0,oracle_sync,6,6020,0.09765829145908356,0.27981359420296337,0.0,2798135942.0296335,1.0
2,15.0,naive_slice,7,7020,0.4963358938694,0.29586466170003045,0.29586466170003045,0.9999999996620076,0.2578125
2,15.0,adjoint_slice,7,7020,0.1558939665555954,0.29586466170003045,0.29586466170003045,0.9999999996620076,0.2578125
2,15.0,proposed,7,7020,0.15522055327892303,0.29586466170003045,0.29384927072002076,1.0068585873103768,0.24609375
2,15.0,oracle_sync,7,7020,0.09552612900733948,0.29586466170003045,0.0,2958646617.000304,1.0
2,15.0,naive_slice,8,8020,0.49717408418655396,0.2817475263900681,0.2817475263900681,0.9999999996450722,0.26953125
2,15.0,adjoint_slice,8,8020,0.14822185039520264,0.2817475263900681,0.2817475263900681,0.9999999996450722,0.26953125
2,15.0,proposed,8,8020,0.14896240830421448,0.2817475263900681,0.2826553647493855,0.9967881789195787,0.26171875
2,15.0,oracle_sync,8,8020,0.09740397334098816,0.2817475263900681,0.0,2817475263.900681,1.0
2,15.0,naive_slice,9,9020,0.518768310546875,0.3053626458529502,0.3053626458529502,0.9999999996725205,0.26171875
2,15.0,adjoint_slice,9,9020,0.16902059316635132,0.3053626458529502,0.3053626458529502,0.9999999996725205,0.26171875
2,15.0,proposed,9,9020,0.16772665083408356,0.3053626458529502,0.3024522193200868,1.009622764344212,0.26171875
2,15.0,oracle_sync,9,9020,0.10874227434396744,0.3053626458529502,0.0,3053626458.529502,1.0
3,15.0,naive_slice,0,30,0.5048970580101013,0.2757641506305912,0.2757641506305912,0.9999999996373713,0.29296875
3,15.0,adjoint_slice,0,30,0.08804932236671448,0.2757641506305912,0.2757641506305912,0.9999999996373713,0.29296875
3,15.0,proposed,0,30,0.08947551250457764,0.2757641506305912,0.2745983674575483,1.004245411520149,0.28515625
3,15.0,oracle_sync,0,30,0.013102213852107525,0.2757641506305912,0.0,2757641506.3059115,1.0
3,15.0,naive_slice,1,1030,0.4984680414199829,0.2854768330494944,0.2854768330494944,0.9999999996497089,0.3125
3,15.0,adjoint_slice,1,1030,0.0926005095243454,0.2854768330494944,0.2854768330494944,0.9999999996497089,0.3125
3,15.0,proposed,1,1030,0.0940755233168602,0.2854768330494944,0.28562404215260573,0.9994846050005092,0.2890625
3,15.0,oracle_sync,1,1030,0.01109822653234005,0.2854768330494944,0.0,2854768330.4949436,1.0
3,15.0,naive_slice,2,2030,0.49549970030784607,0.27249554798374004,0.27249554798374004,0.9999999996330216,0.265625
3,15.0,adjoint_slice,2,2030,0.08143514394760132,0.27249554798374004,0.27249554798374004,0.9999999996330216,0.265625
3,15.0,proposed,2,2030,0.08244019001722336,0.27249554798374004,0.2720956335812145,1.0014697564129016,0.25390625
3,15.0,oracle_sync,2,2030,0.00885009765625,0.27249554798374004,0.0,2724955479.8374004,1.0
3,15.0,naive_slice,3,3030,0.5046305656433105,0.3239449864270373,0.3239449864270373,0.9999999996913056,0.23828125
3,15.0,adjoint_slice,3,3030,0.10615845024585724,0.3239449864270373,0.3239449864270373,0.9999999996913056,0.23828125
3,15.0,proposed,3,3030,0.10555420815944672,0.3239449864270373,0.3205143833277397,1.0107034291647352,0.2265625
3,15.0,oracle_sync,3,3030,0.008127848617732525,0.3239449864270373,0.0,3239449864.270373,1.0
3,15.0,naive_slice,4,4030,0.5040751695632935,0.30222892301530424,0.30222892301530424,0.999999999669125,0.25
3,15.0,adjoint_slice,4,4030,0.0970052108168602,0.30222892301530424,0.30222892301530424,0.999999999669125,0.25
3,15.0,proposed,4,4030,0.09627685695886612,0.30222892301530424,0.29958426121598164,1.0088277724861292,0.23046875
3,15.0,oracle_sync,4,4030,0.008874512277543545,0.30222892301530424,0.0,3022289230.1530423,1.0
3,15.0,naive_slice,5,5030,0.49851685762405396,0.30417286520927217,0.30417286520927217,0.9999999996712395,0.23046875
3,15.0,adjoint_slice,5,5030,0.10484212636947632,0.30417286520927217,0.30417286520927217,0.9999999996712395,0.23046875
3,15.0,proposed,5,5030,0.10391032695770264,0.30417286520927217,0.3016756049915926,1.0082779650576033,0.21484375
3,15.0,oracle_sync,5,5030,0.01590372808277607,0.30417286520927217,0.0,3041728652.0927215,1.0
3,15.0,naive_slice,6,6030,0.5031982660293579,0.29032235848517496,0.29032235848517496,0.9999999996555553,0.24609375
3,15.0,adjoint_slice,6,6030,0.09411418437957764,0.29032235848517496,0.29032235848517496,0.9999999996555553,0.24609375
3,15.0,proposed,6,6030,0.09388631582260132,0.29032235848517496,0.2888380811988437,1.0051387863388954,0.23828125
3,15.0,oracle_sync,6,6030,0.011383057571947575,0.29032235848517496,0.0,2903223584.8517494,1.0
3,15.0,naive_slice,7,7030,0.5064839720726013,0.2956186837881248,0.2956186837881248,0.9999999996617264,0.26953125
3,15.0,adjoint_slice,7,7030,0.1017150953412056,0.2956186837881248,0.2956186837881248,0.9999999996617264,0.26953125
