snr_db,method,mc_idx,seed,init_error,ber,rmse_tau_init,rmse_tau_final,improvement,success_rate
5,matched_filter,1,2050,0.3,0.11949259787797928,0.303643402680808,0.04612128689708693,6.5835847707369135,0.96875
5,adjoint_slice,1,2050,0.3,0.17591756582260132,0.303643402680808,0.303643402680808,0.9999999996706663,0.2734375
5,proposed_no_update,1,2050,0.3,0.17626139521598816,0.303643402680808,0.303643402680808,0.9999999996706663,0.2734375
5,proposed,1,2050,0.3,0.12140706926584244,0.303643402680808,0.09749062865011611,3.11459066962317,0.9453125
5,oracle_sync,1,2050,0.3,0.11894531548023224,0.303643402680808,0.0,3036434026.8080797,1.0
5,matched_filter,2,3050,0.3,0.12057902663946152,0.31516541658300745,0.04413536670570131,7.140881324731509,0.9921875
5,adjoint_slice,2,3050,0.3,0.18066000938415527,0.31516541658300745,0.31516541658300745,0.9999999996827063,0.25
5,proposed_no_update,2,3050,0.3,0.18061524629592896,0.31516541658300745,0.31516541658300745,0.9999999996827063,0.25
5,proposed,2,3050,0.3,0.12090658396482468,0.31516541658300745,0.05588900012224771,5.639131409216901,0.94921875
5,oracle_sync,2,3050,0.3,0.11920980364084244,0.31516541658300745,0.0,3151654165.8300743,1.0
5,matched_filter,3,4050,0.3,0.14861653745174408,0.29786715013557147,0.04469144761301106,6.664969818125922,0.9765625
5,adjoint_slice,3,4050,0.3,0.19936728477478027,0.29786715013557147,0.29786715013557147,0.9999999996642799,0.2890625
5,proposed_no_update,3,4050,0.3,0.20075073838233948,0.29786715013557147,0.29786715013557147,0.9999999996642799,0.2890625
5,proposed,3,4050,0.3,0.1517130583524704,0.29786715013557147,0.056503419084335316,5.271665935185573,0.97265625
5,oracle_sync,3,4050,0.3,0.1496277004480362,0.29786715013557147,0.0,2978671501.355715,1.0
5,matched_filter,4,5050,0.3,0.11961466819047928,0.30481610939315273,0.044419023689948926,6.862287447706721,0.96875
5,adjoint_slice,4,5050,0.3,0.17511597275733948,0.30481610939315273,0.30481610939315273,0.9999999996719333,0.2421875
5,proposed_no_update,4,5050,0.3,0.17499594390392303,0.30481610939315273,0.30481610939315273,0.9999999996719333,0.2421875
5,proposed,4,5050,0.3,0.11944987624883652,0.30481610939315273,0.04627965035799148,6.586396102317961,0.95703125
5,oracle_sync,4,5050,0.3,0.11846517771482468,0.30481610939315273,0.0,3048161093.931527,1.0
5,matched_filter,5,6050,0.3,0.13098552823066711,0.2990843069238652,0.04409642731620586,6.782506530539225,0.96875
5,adjoint_slice,5,6050,0.3,0.18320517241954803,0.2990843069238652,0.2990843069238652,0.9999999996656461,0.2890625
5,proposed_no_update,5,6050,0.3,0.18252971768379211,0.2990843069238652,0.2990843069238652,0.9999999996656461,0.2890625
5,proposed,5,6050,0.3,0.13031210005283356,0.2990843069238652,0.045960190660999614,6.507464437629332,0.95703125
5,oracle_sync,5,6050,0.3,0.12961630523204803,0.2990843069238652,0.0,2990843069.2386518,1.0
5,matched_filter,6,7050,0.3,0.11955363303422928,0.2885396436330411,0.04460364753294864,6.468969668298996,0.96484375
5,adjoint_slice,6,7050,0.3,0.17046713829040527,0.2885396436330411,0.2885396436330411,0.9999999996534271,0.2734375
5,proposed_no_update,6,7050,0.3,0.1705118864774704,0.2885396436330411,0.2885396436330411,0.9999999996534271,0.2734375
5,proposed,6,7050,0.3,0.11972453445196152,0.2885396436330411,0.04628765955790819,6.233619192793742,0.9609375
5,oracle_sync,6,7050,0.3,0.1184488981962204,0.2885396436330411,0.0,2885396436.3304105,1.0
5,matched_filter,7,8050,0.3,0.13759562373161316,0.296339164019762,0.04621171391952698,6.412641692851785,0.96875
5,adjoint_slice,7,8050,0.3,0.18723958730697632,0.296339164019762,0.296339164019762,0.9999999996625488,0.3203125
5,proposed_no_update,7,8050,0.3,0.18624065816402435,0.296339164019762,0.296339164019762,0.9999999996625488,0.3203125
5,proposed,7,8050,0.3,0.1362203061580658,0.296339164019762,0.04593606492868967,6.451122094038343,0.96484375
5,oracle_sync,7,8050,0.3,0.13502605259418488,0.296339164019762,0.0,2963391640.19762,1.0
